id,brand,name,year,price,Город,"Объем двигателя, л",Кузов,Пробег,Коробка передач,Цвет,Привод,Есть доставка
1214637,Daewoo,Nexia,2010,5974,Денау,1.5 (газ-бензин),седан,71000.0,механика,белый,передний привод,
1216327,Chevrolet,"Tracker,",2019,19000,Ташкент,1.8 (бензин),кроссовер,14000.0,автомат,белый,передний привод,Да
1084744,Chevrolet,"Malibu,",2012,12000,Ташкент,2.4 (бензин),седан,119800.0,механика,бежевый,передний привод,
1216263,Chevrolet,"Nexia 3,",2020,4800,Самарканд,1.5 (бензин),седан,5000.0,автомат,белый,передний привод,Да
1183835,BMW,X5,2006,22000,Фергана,3 (бензин),внедорожник,102000.0,типтроник,черный,полный привод,
1216223,Chevrolet,"Captiva,",2017,25500,Ташкент,2.4 (бензин),кроссовер,39200.0,автомат,черный,полный привод,
1209895,Chevrolet,Damas,2020,7850,Шурчинский район,,микровэн,232.0,механика,белый,задний привод,
1206570,Chevrolet,"Lacetti,",2014,8000,Ташкент,1.5 (бензин),седан,140000.0,автомат,золотистый,передний привод,
1187946,Chevrolet,Malibu 2,2018,29100,Ташкент,2.4 (бензин),седан,50000.0,автомат,черный,передний привод,
1213968,Ravon,"Gentra,",2016,10000,Ташкент,1.5 (бензин),седан,65000.0,автомат,белый,передний привод,
1141782,ВАЗ (Lada),2102,1978,2409,Турткульский район,1.7 (газ-бензин),универсал,,механика,белый,задний привод,
1149881,Chevrolet,"Malibu,",2019,26000,Ангорский район,2.4 (бензин),седан,10400.0,автомат,белый,передний привод,
1197262,Chevrolet,"Nexia 3,",2019,8800,Ташкент,1.5 (бензин),седан,,механика,серый,передний привод,
1209655,Chevrolet,"Nexia 2,",2015,6300,Ташкент,1.5 (бензин),седан,110000.0,механика,серый,передний привод,
1204197,Chevrolet,"Nexia 2,",2016,6500,Алмалык,1.5 (газ-бензин),седан,60000.0,механика,серый,передний привод,
1210043,Chevrolet,"Captiva,",2010,13500,Андижан,3.2 (бензин),кроссовер,230000.0,автомат,белый,полный привод,
1188896,Chevrolet,"Lacetti,",2014,8750,Ташкент,1.5 (бензин),седан,81000.0,автомат,дельфин,передний привод,
1210020,Chevrolet,Malibu 2,2018,27000,Ташкент,2 (бензин),седан,24100.0,автомат,черный,передний привод,
1016314,Mercedes-Benz,E 300,1986,5000,Фергана,2.4 (газ),седан,,механика,мокрый асфальт,задний привод,
1165527,Chevrolet,"Spark,",2013,5200,Ташкент,1.25 (бензин),хэтчбек,200000.0,механика,белый,передний привод,
1175071,Toyota,Corolla,2016,25000,Ташкент,1.8 (бензин),седан,50.0,автомат,белый,передний привод,Да
1214205,Chevrolet,Nexia 3,2017,9500,Ташкент,,седан,122000.0,автомат,бежевый,,
1213011,ВАЗ (Lada),2101,1975,1156,Наманган,,седан,,механика,голубой,задний привод,
1199895,Chevrolet,"Lacetti,",2015,9500,Алмалык,1.5 (газ-бензин),седан,120000.0,механика,мокрый асфальт,передний привод,
1142261,Mercedes-Benz,C 200,2004,13000,Ташкент,2 (бензин),купе,175000.0,типтроник,бордовый,задний привод,
1212823,Chevrolet,"Nexia 2,",2014,6000,Ташкент,1.6 (бензин),седан,130000.0,механика,белый,передний привод,
1179128,Chevrolet,"Captiva,",2018,26000,Фергана,2.4 (бензин),внедорожник,21000.0,автомат,белый,полный привод,
1199885,Chevrolet,"Spark,",2013,5500,Ташкент,1.3 (бензин),хэтчбек,97000.0,механика,зеленый,передний привод,
1096720,Chevrolet,"Cobalt,",2013,7420,Нуратинский район,1.5 (бензин),седан,136000.0,механика,сахара,передний привод,
1206390,Chevrolet,"Nexia 3,",2020,9600,Ташкент,1.5 (газ-бензин),седан,16000.0,автомат,белый,передний привод,
1211752,Lexus,GX 460,2019,110000,Бухара,4.6 (бензин),внедорожник,,автомат,белый,полный привод,
1211792,Chevrolet,"Nexia 3,",2017,8000,Ташкент,1.5 (бензин),седан,83000.0,автомат,белый,передний привод,
1200848,Chevrolet,"Epica,",2011,10000,Ташкент,2 (бензин),седан,85000.0,механика,бежевый,передний привод,
1212087,Chevrolet,"Malibu,",2012,14000,Хазараспский район,2.4 (газ-бензин),седан,98.0,механика,хамелеон,передний привод,Да
1195680,Hyundai,Porter,2007,11500,Джизак,2.5 (газ),фургон,411000.0,механика,белый,передний привод,
1211729,Chevrolet,"Nexia 2,",2015,6700,Самарканд,1.6 (газ-бензин),седан,52000.0,механика,белый,передний привод,
1212863,Chevrolet,"Lacetti,",2011,6600,Ташкент,1.8 (газ-бензин),седан,210000.0,механика,белый,передний привод,
1193541,Chevrolet,"Cobalt,",2016,9900,Ташкент,1.5 (бензин),седан,33000.0,автомат,белый,передний привод,
1164660,Chevrolet,"Spark,",2000,4000,Самарканд,1.3 (бензин),хэтчбек,,механика,,передний привод,
1185988,Chevrolet,"Epica,",2009,7800,Ташкент,2 (газ),седан,228000.0,механика,черный,передний привод,
1215634,Chevrolet,Damas,2018,7500,Ташкент,0.8 (бензин),минивэн,28000.0,механика,белый,задний привод,
1215489,Chevrolet,"Malibu,",2012,13400,Ташкент,2.4 (бензин),седан,155000.0,автомат,черный,передний привод,
1203531,Daewoo,Nexia,1997,5700,Ташкент,1.5 (бензин),,,механика,,,
1210532,Chevrolet,"Spark,",2013,6500,Коканд,1.3 (бензин),хэтчбек,,механика,белый,передний привод,
1059658,Chevrolet,Damas,2020,8000,Самарканд,0.8 (бензин),минивэн,255.0,механика,белый,задний привод,
1201324,Chevrolet,"Cobalt,",2020,11119,Ташкент,1.5 (бензин),седан,1.0,автомат,коричневый,передний привод,
1199025,Changan,SC6406,2014,8900,Ташкент,6.9 (бензин),фургон,100000.0,механика,белый,задний привод,
1212406,Kia,Bongo,2015,16000,Ташкент,1.33 (газ),фургон,180000.0,механика,белый,,
811381,Chevrolet,"Spark,",2013,5200,Ташкент,1.3 (газ),хэтчбек,121000.0,механика,синий,передний привод,
966740,Chevrolet,Matiz,2015,4500,Ташкент,0.8 (бензин),хэтчбек,116000.0,механика,белый,передний привод,
1212350,ВАЗ (Lada),2105,1986,2000,Ташкент,8 (газ-бензин),седан,28880.0,механика,белый,задний привод,
1212567,Chevrolet,"Lacetti,",2009,7300,Ташкент,1.8 (газ-бензин),седан,252000.0,автомат,черный,передний привод,
1153602,Chevrolet,"Captiva,",2013,16000,Ташкент,3 (бензин),кроссовер,180000.0,автомат,бежевый,полный привод,
1108637,Haval,H6,2020,29389,Ташкент,1.5 (бензин),кроссовер,,автомат,черный,передний привод,
1207010,Chevrolet,"Nexia 3,",2019,8383,Карши,1.5 (бензин),седан,19500.0,механика,мокрый асфальт,передний привод,
1160485,Chevrolet,Matiz,2015,4300,Ташкент,0.8 (газ-бензин),хэтчбек,156000.0,механика,белый,передний привод,
1174788,Chevrolet,Traverse,2018,49000,Андижан,3.6 (бензин),внедорожник,36544.0,автомат,коричневый,полный привод,
1192668,Chevrolet,"Lacetti,",2011,9000,Ташкент,1.8 (бензин),седан,56000.0,механика,дельфин,передний привод,
1212396,Chevrolet,"Nexia 3,",2017,8700,Ташкент,1.5 (бензин),седан,51000.0,автомат,белый,передний привод,
1208458,Chevrolet,"Lacetti,",2019,10500,Ташкент,1.5 (бензин),седан,24500.0,механика,,передний привод,
849802,Chevrolet,"Captiva,",2013,17000,Ташкент,3 (бензин),кроссовер,106000.0,автомат,белый,полный привод,
1205344,Chevrolet,"Lacetti,",2009,6800,Ташкент,1.8 (газ-бензин),седан,250000.0,автомат,белый,,
